"Mouse_Symbol","Mouse_log2FC","Mouse_pval","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Egr1",1.91015943642614,4.98263548286404e-18,"EGR1",1.25937497766124,0.00323379676374362,"Up","Up","Concordant"
"Fos",1.31119134396964,6.71257445076625e-14,"FOS",1.26700067297776,0.00272521173937634,"Up","Up","Concordant"
"Junb",1.30512684161828,1.94695276822275e-12,"JUNB",2.95524455565762,2.85124120522295e-12,"Up","Up","Concordant"
"Kcna1",0.359805160646593,7.49338076629915e-08,"KCNA1",1.77994603376021,0.000672740015383392,"Up","Up","Concordant"
"Dusp6",0.614817112039926,3.20747103492807e-06,"DUSP6",0.838839297126798,0.00102203797236345,"Up","Up","Concordant"
"Dbp",-0.542721507668237,4.59875131843711e-06,"DBP",-1.24920220507366,0.000906717305914943,"Down","Down","Concordant"
"Nr1d1",-0.407484111643475,2.09043167566e-05,"NR1D1",-0.560845481396384,0.0270849229019528,"Down","Down","Concordant"
"Zfp36",0.583391897639062,4.01746043173027e-05,"ZFP36",2.24457368940099,1.2772560320047e-09,"Up","Up","Concordant"
"Nr4a1",0.552007523591043,6.98201076415406e-05,"NR4A1",2.04199998326437,5.15570936980758e-07,"Up","Up","Concordant"
"Srpk1",0.47542754147975,0.000106653683771534,"SRPK1",1.37573547686643,0.000476474840202546,"Up","Up","Concordant"
"Sostdc1",0.41945166656678,0.000762845810284485,"SOSTDC1",1.25349168254091,0.00740267993503608,"Up","Up","Concordant"
"C77080",-0.418536218028736,0.000865565948608685,"KIAA1522",-0.92883977936656,0.00082121651232471,"Down","Down","Concordant"
"Lamb1",0.37367060717847,0.00139214563980781,"LAMB1",0.484600229731846,0.00417971710924958,"Up","Up","Concordant"
"S1pr3",0.277282251134935,0.00139813166318724,"S1PR3",1.5743470510278,4.1179508262811e-06,"Up","Up","Concordant"
"Per3",-0.39440329362328,0.00195369274969997,"PER3",-0.4257381222925,0.041497444185606,"Down","Down","Concordant"
"Zbtb4",-0.407935096427888,0.00195409647961078,"ZBTB4",-0.462184241485131,0.0450601537479997,"Down","Down","Concordant"
"Vps52",-0.354755322947859,0.00620681044684798,"VPS52",-0.52802989776509,0.00190878956804878,"Down","Down","Concordant"
"Bbs9",-0.322788532657377,0.00683909201281594,"BBS9",-0.584275366784668,0.00236600276031265,"Down","Down","Concordant"
"Six5",-0.464040325565364,0.00717659841093785,"SIX5",-1.19916151973698,0.000165829767918995,"Down","Down","Concordant"
"Cryzl1",-0.412702578031028,0.0098890511502499,"CRYZL1",-0.487690740494642,0.0135811436581068,"Down","Down","Concordant"
