"Mouse_Symbol","Mouse_log2FC","Mouse_padj","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Tsc22d3",-0.284038878428629,8.71262248209546e-25,"TSC22D3",0.879953045600486,1.39651604335522e-10,"Down","Up","Discordant"
"Plekha4",0.298290463020058,5.26514577208746e-23,"PLEKHA4",-0.709758439471158,7.88266152741976e-17,"Up","Down","Discordant"
"Gsn",-0.264579757908332,1.09940194437451e-16,"GSN",0.79472909308265,7.93104283439763e-96,"Down","Up","Discordant"
"Tnxb",-0.238165659264602,2.00023848250952e-16,"TNXB",0.619349928035901,3.78948320981086e-09,"Down","Up","Discordant"
"S100a6",-0.218453293871311,3.14037015081417e-15,"S100A6",0.295483239760776,1.01272497407963e-16,"Down","Up","Discordant"
"Mbp",0.309362962879349,1.0963497224448e-13,"MBP",-1.30208801771583,1.42010607307706e-214,"Up","Down","Discordant"
"Rapgef3",-0.119175491927177,3.11148651854378e-10,"RAPGEF3",1.51936733282159,0.00380906192252475,"Down","Up","Discordant"
"Scube1",-0.229769785658775,7.80097624230978e-09,"SCUBE1",1.87803031424379,3.06097990995257e-19,"Down","Up","Discordant"
"Timp2",-0.143061865535284,4.96288485073894e-08,"TIMP2",0.386943497683537,1.32602673395383e-15,"Down","Up","Discordant"
"Col4a2",-0.137426598541289,6.82186993719545e-07,"COL4A2",0.452422443784434,2.7226774723748e-05,"Down","Up","Discordant"
"Fam107a",-0.171867174994514,1.00694051567701e-06,"FAM107A",1.92702530173483,3.79553529495707e-11,"Down","Up","Discordant"
"Fmn2",0.359590487041992,2.04951717234e-06,"FMN2",-1.59141658266337,0.0303865818092828,"Up","Down","Discordant"
"Drp2",0.232920998739397,2.12393504128461e-06,"DRP2",-0.85712512279549,3.21368352371589e-10,"Up","Down","Discordant"
"Sod3",-0.214516756741697,2.38957599632613e-06,"SOD3",0.482185050320109,3.66496344724045e-06,"Down","Up","Discordant"
"Nbl1",-0.182919116604376,6.00524631598985e-06,"NBL1",1.16396834909537,1.70066773906957e-17,"Down","Up","Discordant"
"Nsmf",-0.0970047175201558,7.99763881805876e-06,"NSMF",0.830504151657788,0.0012458456605136,"Down","Up","Discordant"
"Cpe",-0.249726229707497,8.06161123996594e-06,"CPE",1.19611689848149,3.23111956070507e-13,"Down","Up","Discordant"
"Slc2a1",-0.0958279680818526,0.000592173564475248,"SLC2A1",1.35780484434148,9.47841242765171e-58,"Down","Up","Discordant"
"Rnh1",-0.0928199533977383,0.000672346028893781,"RNH1",0.588178969472058,0.00133817704522308,"Down","Up","Discordant"
"Cdh19",-0.214848130488805,0.00113184307308979,"CDH19",0.574278258759879,7.51109389584067e-08,"Down","Up","Discordant"
"Mxra8",-0.0398079344570863,0.00117833048359111,"MXRA8",0.614180596130099,3.35499738021728e-17,"Down","Up","Discordant"
"Hnrnph1",-0.0898615473957554,0.00163716880660683,"HNRNPH1",0.630450170953329,0.000335376643809226,"Down","Up","Discordant"
"Ctnnal1",0.232710420826811,0.00449151155635649,"CTNNAL1",-0.747383126515763,4.21869437456721e-18,"Up","Down","Discordant"
"Rbm3",-0.118840098746649,0.00483688787673097,"RBM3",0.498805759226183,0.00144595938978559,"Down","Up","Discordant"
"Tns1",-0.0520867500617692,0.00499640983887447,"TNS1",1.16429735594763,1.02837774550839e-20,"Down","Up","Discordant"
"Frzb",-0.117581780830853,0.00520702315082003,"FRZB",1.63027259954587,8.80147207544474e-13,"Down","Up","Discordant"
"Mfap5",-0.0848393549312867,0.0113148915515053,"MFAP5",1.81098965773897,3.53330478985158e-59,"Down","Up","Discordant"
"Cldn19",0.176505426549538,0.0275546403904154,"CLDN19",-1.05113574276211,1.40518979547685e-06,"Up","Down","Discordant"
"Vcl",-0.0965939458385476,0.0324474561664675,"VCL",0.606909410377914,0.0209767908921726,"Down","Up","Discordant"
"Haghl",0.0140276909751378,0.0332774176244807,"HAGHL",-1.22344733704131,0.000843942370831303,"Up","Down","Discordant"
"Nfasc",0.188671702318425,0.0442265746848922,"NFASC",-1.01362960847548,0.00271788506408365,"Up","Down","Discordant"
