"Mouse_Symbol","Mouse_log2FC","Mouse_padj","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Ucp2",0.281102214069046,1.6701969528904e-12,"UCP2",-0.707725555259273,0.00108041690961829,"Up","Down","Discordant"
"Col1a2",0.262901111701855,3.17550847614692e-08,"COL1A2",-0.884662679434246,0.000673077956595261,"Up","Down","Discordant"
"Qk",-0.234208061616465,4.82476830129865e-07,"QKI",0.627873801897697,0.00248291076654324,"Down","Up","Discordant"
"Sema3g",0.196680434417902,6.36237437124247e-07,"SEMA3G",-0.608545192438649,0.0381973899900013,"Up","Down","Discordant"
"Col1a1",0.191270699003445,1.56975070327188e-06,"COL1A1",-2.33093047101344,4.86690219674216e-12,"Up","Down","Discordant"
"Comt",0.175140220417234,2.72499263437434e-06,"COMT",-0.362315019865887,0.0157210129282574,"Up","Down","Discordant"
"Arhgef17",0.148806701484038,1.0089199742874e-05,"ARHGEF17",-0.633317308573752,0.0300738495147949,"Up","Down","Discordant"
"Ide",0.133820245457407,3.19809797061676e-05,"IDE",-0.51913816266272,0.00350840144624801,"Up","Down","Discordant"
"Nav1",0.145574633573899,5.47305200386634e-05,"NAV1",-0.527597117377038,0.00713652459332991,"Up","Down","Discordant"
"Abhd4",0.133020160243272,7.96464859123441e-05,"ABHD4",-0.496961494659171,0.00684156028801751,"Up","Down","Discordant"
"Paqr7",0.172298012924524,0.000169772761877826,"PAQR7",-0.41584816805986,0.0237184135370659,"Up","Down","Discordant"
"Prkcq",0.144194470726142,0.000388920238308135,"PRKCQ",-1.35674592593959,0.000144965631019947,"Up","Down","Discordant"
"Rcn3",0.141938720095686,0.000579120472434096,"RCN3",-0.508711290747099,0.000767019278027791,"Up","Down","Discordant"
"Klhdc8b",0.0926722998202729,0.000605936609422208,"KLHDC8B",-0.686808814256493,0.00445133741981406,"Up","Down","Discordant"
"Etfb",0.129461881008096,0.00097279670096884,"ETFB",-0.319420501815189,0.0429257440677649,"Up","Down","Discordant"
"Stard5",0.123516175372348,0.00132071490012444,"STARD5",-0.687231833356873,0.000516018668580257,"Up","Down","Discordant"
"Olfml2b",0.165646588211551,0.0013208651888848,"OLFML2B",-0.716856696811729,0.016427752658716,"Up","Down","Discordant"
"H2-DMa",0.154436396673337,0.00134389705109895,"HLA-DMA",-0.964397919356987,6.47689085094364e-05,"Up","Down","Discordant"
"Hsd17b7",0.14508835806179,0.00186604673035686,"HSD17B7",-0.410232567493276,0.0117608938592942,"Up","Down","Discordant"
"Slit3",0.142167820429848,0.00222428981998434,"SLIT3",-0.825207453531832,2.97752640206857e-05,"Up","Down","Discordant"
"Ercc6",0.0730202937620057,0.00368326191478195,"ERCC6",-0.422350654803781,0.00536745940018289,"Up","Down","Discordant"
"Man1b1",0.119977615319987,0.00559744352757306,"MAN1B1",-0.380990251147075,0.0314774622322561,"Up","Down","Discordant"
"D11Wsu47e",0.12874255024596,0.009743009969464,"C17orf80",-0.327809640465848,0.0147940339466146,"Up","Down","Discordant"
"Timp2",0.11314763447501,0.0119043457624121,"TIMP2",-0.31091995692204,0.0387226628601124,"Up","Down","Discordant"
"Ermp1",0.086361437990755,0.0131202946646194,"ERMP1",-0.44418200201875,0.0473875006045052,"Up","Down","Discordant"
"Lss",0.0475488861393004,0.0143427529129493,"LSS",-0.525128671831499,0.0125524156902243,"Up","Down","Discordant"
"Rbm6",0.133417093615339,0.0154179595020996,"RBM6",-0.441189228957299,0.015412786950615,"Up","Down","Discordant"
"Gabbr1",0.0711287899837219,0.0222094532195881,"GABBR1",-0.896625062894982,0.0078160561953119,"Up","Down","Discordant"
"Zfhx4",0.118564910721101,0.026671053323039,"ZFHX4",-1.18746285497491,0.000435080277839125,"Up","Down","Discordant"
"Slc9a9",0.143263160092845,0.0301375104266508,"SLC9A9",-1.26085104283364,3.7160431001603e-05,"Up","Down","Discordant"
"Mxd4",0.0813966435123092,0.0305921785909623,"MXD4",-0.495833231453984,0.0196313524124304,"Up","Down","Discordant"
"Pdgfrb",0.105594238218023,0.0358526426569343,"PDGFRB",-0.8407625573912,0.000149768179003722,"Up","Down","Discordant"
"Atn1",0.111993531297997,0.0386822608070003,"ATN1",-0.71442317628964,0.0171821171792075,"Up","Down","Discordant"
"Zscan26",0.0986518187206298,0.043647580385082,"ZSCAN26",-0.820402033142347,0.000281584241419561,"Up","Down","Discordant"
