"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","mmu04064","NF-kappa B signaling pathway","30/692","107/10644",0.280373831775701,4.31257090378694,9.08089128349491,3.55361631684067e-12,1.17269338455742e-09,8.82793106078315e-10,"14825/15894/17873/19225/12044/13197/18035/20310/21929/11796/17096/22637/17060/19698/16818/18034/108723/21898/16176/12042/12675/18761/16177/50930/18033/18792/21947/245527/18751/23882",30
"Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway","31/692","118/10644",0.26271186440678,4.04090330165573,8.75874385045708,1.0095457040485e-11,1.66575041168003e-09,1.25396203239709e-09,"14825/15894/20339/16193/19225/12702/18035/20293/12608/16477/26427/20310/21929/16182/16362/67457/26410/11796/12051/17392/231991/74568/16878/20297/26397/16176/12675/20311/29857/18033/21938",31
"Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation","32/692","136/10644",0.235294117647059,3.61917715062904,8.10595503126326,1.09026121543875e-10,1.19928733698262e-08,9.02812795942261e-09,"246256/14283/18733/14284/12702/18035/232801/16477/320832/17969/17970/18019/17060/19698/16818/18034/16478/15980/232790/16176/16175/12675/20375/29857/14131/16177/17972/18033/12703/15979/16822/14282",32
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","49/692","294/10644",0.166666666666667,2.5635838150289,7.16893349048799,7.55995740081887e-10,6.23696485567557e-08,4.6951314384033e-08,"12765/12985/227288/14825/16178/12986/16193/12156/27279/18413/20293/12771/20310/16174/16182/16181/16180/107527/56744/12983/12767/320100/56708/16196/16162/16878/58181/20297/16185/15980/12163/16176/16175/16172/16190/20311/238057/16177/16194/12803/50930/15979/16323/21938/21947/245527/269275/11479/16156",49
"Human Diseases","Infectious disease: bacterial","mmu05152","Tuberculosis","35/692","180/10644",0.194444444444444,2.99084778420039,7.10322117770004,3.65528510032579e-09,2.41248816621502e-07,1.81609954458292e-07,"246256/56619/16193/12608/12265/13063/12795/13115/24088/271457/12796/192656/170780/15510/20698/15980/21898/15526/16176/16175/18779/12042/15001/15000/56644/12323/29857/14131/12721/114143/18033/15979/108960/13040/21897",35
"Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis","26/692","109/10644",0.238532110091743,3.66898234077531,7.38535836827591,4.5479024224286e-09,2.50134633233573e-07,1.88299117840904e-07,"18035/12265/13063/24088/16835/11796/104709/11689/26397/18036/15980/21898/14679/12675/320207/105675/15001/15000/329581/29857/18033/12703/15979/16780/21947/15481",26
"Human Diseases","Infectious disease: parasitic","mmu05140","Leishmaniasis","20/692","70/10644",0.285714285714286,4.39471511147812,7.51385128558492,1.02292753367068e-08,4.2261848896277e-07,3.18143423908178e-07,"246256/19225/18035/17969/17970/24088/17357/18036/15980/21898/16176/16175/15001/15000/29857/14131/17972/18033/15979/18751",20
"Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway","24/692","98/10644",0.244897959183673,3.76689866698124,7.25591694809086,1.02452967021278e-08,4.2261848896277e-07,3.18143423908178e-07,"12985/14825/14283/16193/19225/20201/18035/20293/12608/20310/21929/16819/17392/16478/74180/56489/20297/16176/16172/12675/20311/29857/18033/14282",24
"Organismal Systems","Immune system","mmu04659","Th17 cell differentiation","24/692","105/10644",0.228571428571429,3.51577208918249,6.83118640927225,4.3418046944994e-08,1.59199505464978e-06,1.19843965836475e-06,"16193/18035/16180/18019/22637/16818/14462/16185/18036/15980/16176/12675/16190/15001/15000/18761/15251/29857/16177/16194/18033/12503/15979/12502",24
"Organismal Systems","Immune system","mmu04625","C-type lectin receptor signaling pathway","24/692","112/10644",0.214285714285714,3.29603633360859,6.441132558362,1.60448737334216e-07,5.29480833202912e-06,3.98588442219736e-06,"56619/16193/19225/18035/17474/216799/12795/16362/18019/12051/19698/17164/170780/18034/13655/56489/16176/12042/12675/56644/29857/56760/69810/18033",24
