"Mouse_Symbol","Mouse_log2FC","Mouse_pval","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Matn2",-0.621861220010469,9.70961284526169e-14,"MATN2",-0.506887953536937,4.85976775236512e-10,"Down","Down","Concordant"
"Cst3",-0.565231360248029,2.36576471020845e-09,"CST3",-0.218818234737092,8.06606770719687e-09,"Down","Down","Concordant"
"Prnp",-0.324216346622743,2.32100532439617e-06,"PRNP",-0.294385360434167,0.0104156275004854,"Down","Down","Concordant"
"Pdlim4",-0.3087626184699,3.8639347859762e-05,"PDLIM4",-0.552802001515096,6.5583548403556e-11,"Down","Down","Concordant"
"Scn7a",-0.183968478045553,5.0233452917037e-05,"SCN7A",-0.311151358410696,0.00445061677847615,"Down","Down","Concordant"
"Gpr37l1",-0.409832294806386,7.11163649577267e-05,"GPR37L1",-0.659323954221469,3.87975475736906e-05,"Down","Down","Concordant"
"Inpp5f",-0.201684632521142,0.00010765396551202,"INPP5F",-1.27216262207433,0.000161290895811109,"Down","Down","Concordant"
"Ttyh1",-0.209449187256509,0.000202301269257333,"TTYH1",-0.669714793124953,2.82820055150652e-10,"Down","Down","Concordant"
"Chl1",-0.22841648290504,0.000276209777027219,"CHL1",-0.748356031395796,2.74262220260578e-16,"Down","Down","Concordant"
"Dhh",-0.300522400551535,0.000508108116376176,"DHH",-0.790288234970654,2.1814342012238e-09,"Down","Down","Concordant"
"Rarres2",-0.220577727284597,0.000561111217795017,"RARRES2",-0.483384482321261,8.43703505320028e-13,"Down","Down","Concordant"
"Hsp90b1",-0.217347490202378,0.000748653720646212,"HSP90B1",-0.660335557541809,8.37480216361675e-18,"Down","Down","Concordant"
"Mag",-0.326097616685191,0.00106347315341495,"MAG",-1.12752291704277,4.07386587248261e-05,"Down","Down","Concordant"
"Ltbp4",-0.342656826447226,0.00147002521067866,"LTBP4",-0.519867445845348,1.45891191021338e-33,"Down","Down","Concordant"
"Ncam1",-0.173710840751208,0.00210467380605743,"NCAM1",-0.897811193376382,3.11502894356559e-23,"Down","Down","Concordant"
"Sbspon",-0.210860649048853,0.0025297848656526,"SBSPON",-0.467999456140596,0.000335862255988385,"Down","Down","Concordant"
"Slc12a2",-0.285483479335791,0.00253226553310503,"SLC12A2",-0.876329333692642,1.39885181493876e-05,"Down","Down","Concordant"
"Slc35f1",-0.116548225156742,0.00256852699744747,"SLC35F1",-0.673042058356518,5.66070746582729e-07,"Down","Down","Concordant"
"Gas2l3",-0.186685845982158,0.00341975001893231,"GAS2L3",-0.553256999453118,0.0151511480104318,"Down","Down","Concordant"
"Tspan15",-0.263410775674745,0.0034651551945854,"TSPAN15",-0.731594240711631,4.91614320444834e-09,"Down","Down","Concordant"
"Nkain2",-0.185087923840353,0.00384820012304122,"NKAIN2",-1.45906838590054,8.16818015822726e-08,"Down","Down","Concordant"
"Ahnak",0.122586922589355,0.00617493365788302,"AHNAK",0.316936649951971,3.09743540277711e-06,"Up","Up","Concordant"
"Cmtm5",-0.195770494642234,0.00709321965222378,"CMTM5",-0.623719266247987,7.15026514229973e-05,"Down","Down","Concordant"
"Grik3",-0.274059636823533,0.00711758200768623,"GRIK3",-1.06237325318126,1.81918172458866e-16,"Down","Down","Concordant"
"Sparc",-0.0701227169331884,0.00792519405482655,"SPARC",-0.74235848073811,1.37184003580368e-160,"Down","Down","Concordant"
"Map4",-0.206453121023636,0.00803127662733396,"MAP4",-0.654819778311623,5.16897027158038e-26,"Down","Down","Concordant"
"Fxyd1",-0.14264357789487,0.0082464373366288,"FXYD1",-0.299331198860358,0.0167861022358932,"Down","Down","Concordant"
"Vwa1",-0.19637618291289,0.00936097788822228,"VWA1",-0.428903634526047,5.92811829244541e-14,"Down","Down","Concordant"
"Txnip",0.210346363076592,0.00998274589748991,"TXNIP",1.06445803228047,6.78608611883923e-68,"Up","Up","Concordant"
